SYMBOL	GSM995221_AD01M001.CEL.gz	GSM995222_AD01M002.CEL.gz	GSM995223_AD01M003.CEL.gz	GSM995224_AD01M004.CEL.gz	GSM995225_AD01M005.CEL.gz	GSM995226_AD01M006.CEL.gz	GSM995227_AD01M007.CEL.gz	GSM995228_AD01M008.CEL.gz
Plscr1	9.03545327952266	8.936971013043475	8.257868897619618	8.257830561698702	7.7912842495322785	7.584329591207974	7.812648902077573	7.762034235846574
Ccr8	11.684900229832193	11.702671771324988	10.16143086571692	10.016326126075132	7.8582740898419985	8.721086381270137	8.543142388758433	7.7485236603922205
Cxcr6	9.213400619071665	9.124044728986323	8.418149836706922	8.621200317622435	7.035549129542159	6.715044516956966	6.905252016715663	6.8859476855457
Ccr3	7.597659635591091	7.56958326793949	8.013622380043989	8.308429610833814	6.392966240981137	6.7703044194973705	6.802682786903817	6.64036658956252
Ccr2	10.040920350920535	10.142995567136397	9.27916337573215	9.095334979342448	6.379009536977416	6.3981367655192685	6.4269889928774075	6.233276783892819
Ccr5	9.537594066988826	9.479826719739108	8.246926710191214	8.228279248210432	6.714699394717963	6.93572438372046	7.000955373230901	7.114765398614718
Acsbg1	9.397357339455194	9.254881069748151	8.991667529410304	8.969545222061491	8.214751798129711	8.238490247230839	8.188921419908239	8.037529456848691
Hacd3	10.513744369613232	10.5378711697341	10.041211367049462	9.828854221604166	8.292859898533404	9.135478715941757	8.874374941928968	8.567567787946444
1110012L19Rik	7.791684153296328	7.612788295968156	7.311278377959489	7.213392222855795	6.745311538995875	6.96365399656246	7.231112280186436	6.993155431726935
Chic1	6.5357390188995534	6.748662315561592	6.010324285973957	5.927568433061789	5.506637765583555	5.661275310885657	5.540445072477204	5.534249436256219
Zcchc18	7.78202861746851	7.729966861296362	7.542205712644836	7.515509024057041	6.924041281546696	6.902947994266853	6.9067795636350215	7.06715397720778
Klf8	6.1418330023174885	6.18348445720808	5.974808614350605	6.171453503289698	5.45155955258463	5.517923778003539	5.558354682494857	5.441452298533954
Xist	10.704908743090249	10.762174740915961	10.01646577308669	9.963535156840324	5.948294677367717	5.57809628314567	5.912935094004966	6.037354006300676
Itm2a	10.246815830492547	10.131841513295736	10.363624326719213	10.373395761154917	11.602597194281739	12.142986047618733	12.12343625155027	11.652464267952645
Car5b	9.034407220540526	8.928185394785281	8.154023849486434	8.075057824666162	6.164518240958752	6.684914345562069	6.554040263277113	6.465099598249978
Kdm5d	5.266166249548653	4.8815283834706165	5.171647933686363	5.446642697351699	7.2256279392666105	7.744294388034339	7.215589485210851	7.266063516738817
Eif2s3y	4.727372806090267	4.554805179122193	4.5183266421640385	4.440275077192351	7.655315490485499	9.40388749946382	8.539160274231632	7.723188788970335
Uba1y	5.039694585544381	4.709453417038217	4.638584085966907	4.91663053374604	4.998892240463705	5.266047155239138	5.1082779200698445	5.507265165087818
Uty	4.580742353673716	4.566542073024333	4.386064450942502	4.720571861025616	6.615229542977282	8.052483404175316	7.2342022034609	7.077630659742922
Ddx3y	5.1199592816392085	5.203796303198356	5.028490135064622	5.231522460763911	8.117813916402481	9.310649612078912	8.89079046151878	8.545939566919444
4932431L22Rik	4.754488592379255	4.718680162782773	5.467590569205326	5.459663459070246	8.983026447367793	7.86453192583147	8.711749869891467	8.654386491328077
Gm20826	4.84606559455434	5.056876447559919	4.990708353195188	5.107706643716285	7.730168825157129	7.550922881325592	8.141173704038268	7.7520663703887625
